District Name,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,TotalNumofClasses,AverageClassSize,NumberofStudents,FemalePercent,MalePercent,EnglishLanguageLearnerPercent,StudentswithDisabilitiesPercent,EconomicallyDisadvantagedPercent,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,InDistrictExpenditures,TotalIndistrictFTEs,InDistrictExpendituresperPupil,TotalExpenditures,TotalPupilFTEs,TotalExpendituresperPupil,Unnamed:8,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,TotalNumofTeachers,PercentofTeachersLicensedinTeachingAssignment,TotalNumofClassesinCoreAcademicAreas,PercentofCoreAcademicClassesTaughtbyTeachersWhoareHighlyQualified,StudentTeacherRatio,SalaryTotals,AverageSalary,FTECount
Christa McAuliffe Charter Public (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,141.0,115.0,0.0,0.0,0.0,0.0,0.0,395.0,4.6,5.6,21.3,60.0,0.8,0.3,7.6,52.9,47.1,,,,,,,,,,,,,,,,     178,19.9,        394,47.5,52.5,3.6,23.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,57.0,47.0,4.0,3.0,53.0,44.0,49.0,41.0,15.0,12.0,121.0,76.4,,,,,,,,,,,,,4180000.0,40.0,10.1,15.0,88.0,22.3,157.0,39.7,73.0,35.0,68.4,119.0,84.9,11.3 to 1,,,
City on a Hill Charter Public School Circuit Street (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,72.0,52.0,36.0,0.0,283.0,68.9,0.0,27.2,2.8,0.0,0.0,1.1,47.7,51.6,      36,      53,      21,      13,       2,       0,       0,,      22,      17,       8,       5,       1,73.6,26.4,     115,13.1,        269,54.6,45.4,13.0,21.6,55.4,     279,       3,1.1,0.9,3.0,0.0,0.0,        52,80.8,11.5,0.0,3.8,1.9,1.9,45.0,41.0,91.1,0.0,58.5,14.6,26.8,14.6,7.3,19.5,SCIENCE AND TECH/ENG,36.0,72.0,6.0,12.0,30.0,60.0,10.0,20.0,4.0,8.0,50.0,87.5,,,,,,,,,,,,,4370000.0,87.0,30.7,38.0,65.0,23.0,202.0,71.4,158.0,25.0,80.9,80.0,91.3,11.1 to 1,,,
City on a Hill Charter Public School Dudley Square (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,71.0,62.0,51.0,0.0,272.0,69.9,2.6,25.0,0.4,0.0,0.4,1.8,45.6,54.4,      14,      14,      14,       0,       0,       0,       0,,      10,       2,       2,       0,       0,85.7,14.3,     111,13.7,        266,59.0,41.0,12.0,24.4,54.5,     281,       5,1.8,3.5,0.0,1.8,0.0,        51,72.5,19.6,0.0,0.0,5.9,2.0,,,,,,,,,,,SCIENCE AND TECH/ENG,47.0,72.0,13.0,20.0,34.0,52.0,11.0,17.0,7.0,11.0,65.0,88.1,,,,,,,,,,,,,35040000.0,100.0,36.8,52.0,59.0,21.7,209.0,76.8,158.0,25.0,71.1,87.0,87.4,11.1 to 1,,,
City on a Hill Charter Public School New Bedford (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,62.0,42.0,25.0,0.0,236.0,13.6,1.3,46.2,34.3,0.0,0.0,4.7,46.2,53.4,,,,,,,,,,,,,,,,      60,14.4,        172,51.2,48.8,19.2,30.8,71.5,     177,      10,5.6,8.8,1.8,0.0,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,63.0,7.0,16.0,20.0,47.0,8.0,19.0,8.0,19.0,43.0,78.5,,,,,,,,,,,,,35070000.0,81.0,34.3,41.0,70.0,29.7,188.0,79.7,162.0,13.0,80.2,51.0,51.0,13.3 to 1,,,
Codman Academy Charter Public (District),20.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,16.0,20.0,41.0,39.0,43.0,28.0,0.0,345.0,76.8,0.0,21.2,0.3,0.3,0.6,0.9,51.0,49.0,      11,      16,       6,       5,       0,       0,       0,,      12,       4,       0,       0,       0,100.0,0.0,     117,15.9,        353,49.9,50.1,7.9,23.5,48.2,     155,       1,0.6,2.2,0.0,0.0,0.0,        33,81.8,6.1,0.0,3.0,9.1,0.0,27.0,22.0,81.5,0.0,36.4,22.7,40.9,22.7,9.1,27.3,SCIENCE AND TECH/ENG,21.0,26.0,3.0,4.0,18.0,22.0,35.0,43.0,26.0,32.0,82.0,57.6,,,,,,,,,,426.0,,417.0,4380000.0,46.0,13.3,21.0,70.0,20.3,230.0,66.7,183.0,36.0,60.5,97.0,67.0,10.0 to 1,,,
Collegiate Charter School of Lowell (District),0.0,99.0,111.0,108.0,95.0,125.0,93.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,18.8,22.9,37.2,15.5,0.1,0.0,5.4,49.7,50.3,,,,,,,,,,,,,,,,     199,26.2,        625,51.2,48.8,18.4,13.8,36.6,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,17.0,29.0,8.0,14.0,9.0,15.0,31.0,53.0,11.0,19.0,59.0,64.0,,,,,,,,,,,,,35030000.0,345.0,45.5,146.0,83.0,10.9,466.0,61.4,321.0,33.0,84.8,162.0,98.1,19.6 to 1,,,
Community Charter School of Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,46.0,88.5,0.0,39.1,21.7,39.1,21.7,8.7,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Charter School of Cambridge (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,65.0,62.0,46.0,50.0,54.0,51.0,0.0,365.0,63.3,4.1,22.5,5.2,0.8,0.0,4.1,49.3,50.7,      88,     136,      56,      17,      14,       1,       0,,      57,      46,      21,       9,       3,75.7,24.3,     370,14.0,        366,52.7,47.3,2.5,18.9,32.0,     234,       0,0.0,0.0,0.0,0.0,0.0,        53,96.2,3.8,0.0,0.0,0.0,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,54.0,48.0,10.0,9.0,44.0,39.0,49.0,43.0,10.0,9.0,113.0,77.9,,,,,,,,,,515.0,,532.0,4360000.0,121.0,33.2,12.0,64.0,17.5,178.0,48.8,131.0,32.0,69.8,261.0,95.4,11.6 to 1,,,
Community Day Charter Public School - Gateway (District),40.0,40.0,42.0,41.0,42.0,39.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.3,0.6,95.6,2.5,0.0,0.0,0.0,51.3,48.8,,,,,,,,,,,,,,,,      96,20.1,        282,48.6,51.4,59.2,8.5,46.8,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,22.0,58.0,8.0,21.0,14.0,37.0,11.0,29.0,5.0,13.0,38.0,78.9,,,,,,,,,,,,,4260000.0,237.0,74.1,93.0,24.0,7.5,253.0,79.1,164.0,28.0,73.6,82.0,100.0,10.2 to 1,,,
Community Day Charter Public School - Prospect (District),44.0,46.0,47.0,50.0,48.0,48.0,42.0,33.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,400.0,0.5,0.5,96.3,2.8,0.0,0.0,0.0,49.5,50.5,,,,,,,,,,,,,,,,     120,22.3,        400,49.5,50.5,42.5,12.3,43.8,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,61.0,14.0,17.0,37.0,45.0,27.0,33.0,5.0,6.0,83.0,83.4,,,,,,,,,,,,,4400000.0,288.0,72.0,159.0,40.0,10.0,314.0,78.5,215.0,45.0,84.4,102.0,100.0,8.9 to 1,,,
Community Day Charter Public School - R. Kingman Webster (District),42.0,42.0,43.0,42.0,42.0,39.0,38.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.6,1.3,93.1,4.1,0.0,0.0,0.0,49.1,50.9,,,,,,,,,,,,,,,,      96,20.1,        280,51.1,48.9,44.3,10.4,51.8,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,59.0,8.0,25.0,11.0,34.0,13.0,41.0,0.0,0.0,32.0,85.9,,,,,,,,,,,,,4310000.0,192.0,60.0,88.0,29.0,9.1,243.0,75.9,167.0,31.0,75.4,82.0,100.0,9.2 to 1,,,
Conservatory Lab Charter (District),51.0,49.0,51.0,52.0,48.0,47.0,43.0,41.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,450.0,49.1,2.9,35.6,9.3,0.0,0.0,3.1,45.3,54.7,,,,,,,,,,,,,,,,      35,21.7,        435,54.9,45.1,14.5,11.0,38.6,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,26.0,0.0,0.0,18.0,26.0,38.0,56.0,12.0,18.0,68.0,63.2,,,,,,,,,,,,,4390000.0,72.0,16.0,57.0,51.0,11.3,276.0,61.3,206.0,22.0,68.2,83.0,81.9,20.5 to 1,,,
Dudley Street Neighborhood Charter School (District),39.0,38.0,43.0,44.0,43.0,42.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,62.3,0.0,35.9,0.7,0.0,0.0,1.1,47.5,52.5,,,,,,,,,,,,,,,,      52,20.4,        286,54.5,45.5,23.1,11.5,50.7,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,6.0,18.0,2.0,6.0,4.0,12.0,15.0,44.0,13.0,38.0,34.0,54.4,,,,,,,,,,,,,4070000.0,85.0,29.9,58.0,34.0,12.0,206.0,72.5,165.0,21.0,95.3,94.0,85.1,13.9 to 1,,,
Edward M. Kennedy Academy for Health Careers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,72.0,81.8,0.0,19.4,36.1,44.4,36.1,16.7,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,104.0,89.0,80.0,0.0,380.0,42.4,1.8,48.7,3.9,0.3,0.0,2.9,38.4,61.6,     110,     153,      71,      36,       2,       1,       0,,      87,      41,      17,       8,       0,83.7,16.3,     142,19.3,        361,65.7,34.3,12.7,15.5,52.9,     359,       1,0.3,0.0,1.1,0.0,0.0,        86,95.3,3.5,0.0,0.0,1.2,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,38.0,51.0,1.0,1.0,37.0,50.0,35.0,47.0,1.0,1.0,74.0,81.8,,,,,,,,,,455.0,,451.0,4520000.0,209.0,55.0,68.0,55.0,14.5,276.0,72.6,214.0,29.0,91.6,85.0,96.5,12.5 to 1,,,
Excel Academy Charter (District),0.0,0.0,0.0,0.0,0.0,0.0,169.0,172.0,171.0,172.0,172.0,168.0,103.0,0.0,0.0,1127.0,6.9,1.4,79.1,10.7,1.0,0.4,0.5,49.2,50.8,      59,      74,      44,      15,       0,       0,       0,,       8,      15,      17,      15,      19,31.1,68.9,     349,25.3,        959,50.6,49.4,15.6,20.2,39.7,     279,       0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,242.0,55.0,77.0,18.0,165.0,38.0,157.0,36.0,38.0,9.0,437.0,80.8,,,,,,,,,,,,,4100000.0,691.0,61.3,164.0,218.0,19.3,736.0,65.3,519.0,86.0,56.9,231.0,79.2,11.1 to 1,,,
Four Rivers Charter Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,25.0,71.4,0.0,36.0,36.0,28.0,36.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Rivers Charter Public (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,38.0,38.0,37.0,37.0,0.0,222.0,0.5,1.4,7.7,85.6,0.0,0.0,5.0,50.0,50.0,,,,,,,,,,,,,,,,     347,13.5,        221,52.0,48.0,0.5,15.4,21.3,     147,       4,2.7,0.0,2.6,2.7,5.9,        39,84.6,2.6,0.0,10.3,2.6,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,73.0,20.0,29.0,31.0,44.0,18.0,26.0,1.0,1.0,70.0,89.3,,,,,,,,,,585.0,,545.0,4130000.0,3.0,1.4,0.0,28.0,12.6,83.0,37.4,64.0,22.0,57.8,131.0,96.9,10.0 to 1,,,
Foxborough Regional Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,56.0,87.5,0.0,35.7,12.5,51.8,12.5,17.9,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxborough Regional Charter (District),0.0,130.0,132.0,134.0,136.0,133.0,135.0,136.0,128.0,125.0,85.0,72.0,66.0,57.0,0.0,1469.0,42.1,10.2,4.9,37.2,0.3,0.1,5.2,47.1,52.9,     109,     191,      49,      44,      10,       6,       0,,      24,      49,      47,      43,      28,38.2,61.8,     540,22.9,"      1,270",52.7,47.3,14.5,8.7,16.0,     265,       1,0.4,0.0,0.0,0.0,1.7,        61,96.7,1.6,0.0,0.0,1.6,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,153.0,54.0,47.0,17.0,106.0,37.0,112.0,39.0,19.0,7.0,284.0,80.1,,,,,,,,,,577.0,,544.0,4460000.0,326.0,22.2,196.0,127.0,8.6,559.0,38.1,316.0,92.0,81.8,429.0,96.0,13.7 to 1,,,
Francis W. Parker Charter Essential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,43.0,91.5,0.0,55.8,7.0,37.2,7.0,7.0,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis W. Parker Charter Essential (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,73.0,68.0,58.0,61.0,67.0,0.0,396.0,0.5,1.8,2.8,90.2,0.0,0.0,4.8,46.0,53.8,      12,      12,      12,       0,       0,       0,       0,,       1,       3,       3,       4,       1,33.3,66.7,     232,17.6,        394,53.8,45.9,0.0,15.7,5.6,     262,       0,0.0,0.0,0.0,0.0,0.0,        62,88.7,9.7,0.0,0.0,1.6,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,79.0,64.0,15.0,12.0,64.0,52.0,40.0,32.0,5.0,4.0,124.0,85.5,,,,,,,,,,620.0,,562.0,4780000.0,8.0,2.0,0.0,56.0,14.1,80.0,20.2,25.0,46.0,61.0,200.0,100.0,8.6 to 1,,,
Franklin County Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,127.0,121.0,113.0,0.0,487.0,1.2,0.2,2.7,95.7,0.0,0.0,0.2,69.4,30.6,      32,      44,      20,      12,       0,       0,       0,,      27,      12,       2,       3,       0,88.6,11.4,     280,14.1,        484,32.2,67.8,0.0,28.1,34.9,     488,       7,1.4,0.0,2.3,1.7,1.8,       123,88.6,3.3,0.0,0.8,7.3,0.0,119.0,40.0,33.6,0.0,7.5,80.0,12.5,77.5,7.5,2.5,SCIENCE AND TECH/ENG,73.0,66.0,11.0,10.0,62.0,56.0,33.0,30.0,4.0,4.0,110.0,87.3,,,"      $11,412,043.00",        480.0,"         $23,775.09","      $11,419,643.00",        481.5,"         $23,716.81",,551.0,,530.0,8180000.0,1.0,0.2,1.0,154.0,31.6,261.0,53.6,180.0,52.0,96.1,136.0,97.8,9.4 to 1,"      $3,975,523","  $71,890",     55
Global Learning Charter Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,29.0,87.9,0.0,20.7,48.3,31.0,48.3,6.9,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Learning Charter Public (District),0.0,0.0,0.0,0.0,0.0,0.0,89.0,88.0,92.0,88.0,32.0,35.0,47.0,38.0,0.0,509.0,10.2,0.8,36.0,47.2,0.8,0.0,5.1,50.3,49.7,,,,,,,,,,,,,,,,     375,14.6,        497,49.1,50.9,10.9,12.9,46.1,     180,       3,1.7,2.4,0.0,4.7,0.0,        51,96.1,2.0,0.0,0.0,2.0,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,95.0,48.0,17.0,9.0,78.0,40.0,79.0,40.0,22.0,11.0,196.0,76.3,,,,,,,,,,494.0,,500.0,4960000.0,134.0,26.3,44.0,74.0,14.5,322.0,63.3,261.0,41.0,89.0,233.0,100.0,12.4 to 1,,,
Greater Fall River Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,361.0,333.0,328.0,1.0,1398.0,2.3,1.7,9.8,79.5,0.5,0.1,6.1,55.8,44.2,      28,      28,      28,       0,       0,       0,       0,,       0,      17,      10,       1,       0,60.7,39.3,     892,13.6,"      1,372",44.1,55.9,1.7,9.5,33.9,"   1,394",      12,0.9,0.3,0.9,0.9,1.5,       338,97.6,0.3,0.6,0.0,1.5,0.0,337.0,187.0,55.5,2.1,13.9,63.6,20.3,62.0,4.8,15.0,SCIENCE AND TECH/ENG,270.0,84.0,102.0,32.0,168.0,52.0,48.0,15.0,4.0,1.0,322.0,93.9,,,"      $27,667,471.00","      1,374.1","         $20,134.98","      $27,757,430.00","      1,382.0","         $20,084.97",,495.0,,501.0,8210000.0,82.0,5.9,31.0,147.0,10.5,625.0,44.7,523.0,133.0,98.5,500.0,100.0,10.5 to 1,"     $11,166,331","  $79,250",    141
Greater Lawrence Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,396.0,378.0,316.0,0.0,1509.0,0.9,1.2,82.0,15.8,0.1,0.0,0.0,49.9,50.1,      12,      12,      12,       0,       0,       0,       0,,       4,       5,       2,       1,       0,75.0,25.0,"   1,298",13.8,"      1,450",50.8,49.2,10.3,21.3,48.8,"   1,473",       8,0.5,0.0,0.3,0.9,1.2,       330,93.0,1.5,1.5,0.6,3.3,0.0,304.0,171.0,56.3,0.0,13.5,76.6,9.9,76.0,4.1,4.7,SCIENCE AND TECH/ENG,228.0,62.0,36.0,10.0,192.0,53.0,118.0,32.0,19.0,5.0,365.0,85.2,,,"      $29,821,593.00","      1,373.6","         $21,710.54","      $30,545,587.00","      1,490.9","         $20,488.02",,441.0,,453.0,8230000.0,676.0,44.8,187.0,310.0,20.5,1065.0,70.6,796.0,135.0,99.3,313.0,100.0,10.9 to 1,"     $10,891,707","  $83,206",    131
Greater Lowell Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,564.0,545.0,513.0,28.0,2270.0,3.7,16.3,32.2,44.2,0.3,0.0,3.3,55.4,44.6,      63,      63,      63,       0,       0,       0,       0,,       7,      36,      18,       2,       0,68.3,31.7,"   1,334",18.4,"      2,175",44.9,55.1,5.4,20.9,41.1,"   2,159",      10,0.5,0.0,0.4,0.6,1.0,       487,96.1,2.3,0.0,0.2,1.4,0.0,492.0,258.0,52.4,0.0,13.2,70.5,16.3,68.6,10.5,5.0,SCIENCE AND TECH/ENG,329.0,65.0,76.0,15.0,253.0,50.0,151.0,30.0,25.0,5.0,505.0,86.7,,,"      $41,011,421.00","      2,102.8","         $19,503.24","      $41,144,620.00","      2,128.1","         $19,333.97",,488.0,,494.0,8280000.0,589.0,25.9,143.0,483.0,21.3,1382.0,60.9,1021.0,175.0,99.4,454.0,100.0,12.5 to 1,"     $15,303,584","  $83,577",    183
Greater New Bedford Regional Vocational Technical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,563.0,526.0,507.0,0.0,2153.0,8.1,0.8,21.6,65.1,0.5,0.0,3.9,50.3,49.7,      65,      83,      53,       6,       6,       0,       0,,      12,      32,      24,      12,       3,53.0,47.0,"   1,531",14.1,"      2,145",50.3,49.7,2.6,11.2,35.7,"   2,154",      42,1.9,0.4,1.6,1.9,4.1,       539,89.8,1.5,0.6,0.0,7.4,0.7,456.0,267.0,58.6,2.2,14.6,61.0,22.1,60.7,9.0,10.9,SCIENCE AND TECH/ENG,385.0,74.0,106.0,20.0,279.0,53.0,116.0,22.0,21.0,4.0,522.0,89.0,,,"      $41,603,420.00","      2,111.6","         $19,702.32","      $41,628,420.00","      2,116.6","         $19,667.59",,508.0,,492.0,8250000.0,447.0,20.8,67.0,240.0,11.1,1036.0,48.1,870.0,204.0,98.5,501.0,98.6,10.6 to 1,"     $15,938,850","  $90,408",    176
Hampden Charter School of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,40.0,95.2,0.0,22.5,57.5,20.0,55.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampden Charter School of Science (District),,,,,,,,,,,,,,,,,,,,,,,,,,      24,      30,      18,       6,       0,       0,       0,,       3,      10,       7,       8,       2,43.3,56.7,     308,16.5,        439,52.8,47.2,3.6,9.6,40.1,     197,       0,0.0,0.0,0.0,0.0,0.0,        37,97.3,2.7,0.0,0.0,0.0,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,70.0,61.0,21.0,18.0,49.0,43.0,39.0,34.0,6.0,5.0,115.0,83.9,,,,,,,,,,506.0,,539.0,,,,,,,,,,38.0,74.5,245.0,100.0,12.7 to 1,,,
Hampden Charter School of Science East (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,109.0,85.0,76.0,67.0,37.0,30.0,1.0,491.0,27.5,2.4,31.8,36.7,0.0,0.0,1.6,48.1,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4990000.0,21.0,4.3,19.0,51.0,10.4,237.0,48.3,205.0,,,,,,,,
Helen Y. Davis Leadership Academy Charter Public (District),0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,73.0,81.0,0.0,0.0,0.0,0.0,0.0,214.0,76.6,0.5,21.0,0.9,0.5,0.5,0.0,54.7,45.3,,,,,,,,,,,,,,,,     122,17.2,        217,41.9,58.1,12.0,26.3,49.8,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,4.0,6.0,0.0,0.0,4.0,6.0,28.0,40.0,38.0,54.0,70.0,46.1,,,,,,,,,,,,,4190000.0,21.0,9.8,8.0,62.0,29.0,162.0,75.7,127.0,17.0,64.7,74.0,81.1,12.8 to 1,,,
Hill View Montessori Charter Public (District),0.0,36.0,31.0,37.0,35.0,35.0,33.0,35.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,303.0,5.6,0.7,21.5,69.3,0.0,0.0,3.0,42.6,57.4,,,,,,,,,,,,,,,,     112,20.4,        302,57.6,42.4,3.0,12.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,28.0,1.0,1.0,18.0,26.0,38.0,56.0,11.0,16.0,68.0,67.3,,,,,,,,,,,,,4550000.0,9.0,3.0,7.0,45.0,14.9,95.0,31.4,55.0,20.0,77.8,97.0,84.5,15.3 to 1,,,
Hilltown Cooperative Charter Public (District),0.0,20.0,20.0,21.0,21.0,21.0,21.0,32.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,218.0,0.5,1.4,6.0,80.7,0.0,0.0,11.5,53.7,46.3,,,,,,,,,,,,,,,,      41,31.7,        218,46.8,53.2,0.0,20.2,10.6,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,38.0,75.0,8.0,16.0,30.0,59.0,11.0,22.0,2.0,4.0,51.0,90.2,,,,,,,,,,,,,4500000.0,1.0,0.5,0.0,41.0,18.8,60.0,27.5,35.0,20.0,91.6,55.0,100.0,11.0 to 1,,,
Holyoke Community Charter (District),0.0,78.0,84.0,90.0,87.0,88.0,85.0,75.0,72.0,43.0,0.0,0.0,0.0,0.0,0.0,702.0,1.7,0.4,91.2,5.0,0.0,0.0,1.7,42.5,57.5,,,,,,,,,,,,,,,,     191,25.2,        702,57.0,43.0,13.4,18.4,66.1,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,31.0,7.0,5.0,37.0,26.0,69.0,49.0,29.0,20.0,142.0,64.8,,,,,,,,,,,,,4530000.0,184.0,26.2,108.0,123.0,17.5,540.0,76.9,489.0,53.0,72.2,143.0,92.3,13.4 to 1,,,
