Rank,Municipality,Type,County,Per capita income,Median household income,Median family income,Population,Number of households
174,Marlborough,City,Middlesex,"$35,335","$70,304","$83,756","38,842","15,730"
175,Paxton,Town,Worcester,"$35,309","$106,375","$109,855","4,824","1,503"
176,Westport,Town,Bristol,"$35,249","$78,013","$91,381","15,587","6,007"
177,Woburn,City,Middlesex,"$35,134","$74,431","$93,218","38,528","15,186"
178,North Attleborough,Town,Bristol,"$35,081","$79,289","$101,466","28,719","10,241"
179,Uxbridge,Town,Worcester,"$34,910","$84,909","$96,083","13,487","4,957"
180,Worthington,Town,Hampshire,"$34,898","$68,882","$76,094","1,149",541
181,Westminster,Town,Worcester,"$34,860","$83,840","$94,232","7,320","2,821"
182,Leyden,Town,Franklin,"$34,857","$75,156","$80,750",684,297
183,Weymouth,City,Norfolk,"$34,832","$68,113","$88,987","54,366","22,526"
184,Dighton,Town,Bristol,"$34,827","$81,625","$94,028","7,113","2,423"
185,Raynham,Town,Bristol,"$34,802","$80,380","$100,225","13,422","4,702"
186,Somerville,City,Middlesex,"$34,781","$67,118","$72,994","76,945","31,524"
187,Sheffield,Town,Berkshire,"$34,779","$51,758","$72,353","3,245","1,439"
188,Otis,Town,Berkshire,"$34,746","$59,271","$69,821","1,421",603
189,Townsend,Town,Middlesex,"$34,722","$80,162","$92,921","9,037","3,273"
190,Mashpee,Town,Barnstable,"$34,717","$63,657","$78,330","14,000","6,011"
191,Ashfield,Town,Franklin,"$34,716","$69,583","$78,750","1,703",759
192,Heath,Town,Franklin,"$34,649","$53,750","$72,885",593,267
193,Auburn,Town,Worcester,"$34,624","$73,263","$94,863","16,245","6,245"
194,Seekonk,Town,Bristol,"$34,580","$70,966","$89,730","13,932","4,851"
195,Abington,Town,Plymouth,"$34,567","$78,395","$92,452","16,009","5,798"
196,Middlefield,Town,Hampshire,"$34,563","$75,156","$87,679",464,213
197,Billerica,Town,Middlesex,"$34,545","$88,296","$98,421","40,932","14,276"
198,Northampton,City,Hampshire,"$34,466","$57,991","$81,620","28,586","11,538"
199,Westhampton,Town,Hampshire,"$34,464","$77,875","$89,896","1,569",630
200,Harwich,Town,Barnstable,"$34,459","$62,927","$73,338","12,223","5,414"
201,Ashburnham,Town,Worcester,"$34,454","$83,532","$99,159","6,119","2,223"
202,Sandwich,Town,Barnstable,"$34,443","$82,617","$91,527","20,615","7,476"
203,Lanesborough,Town,Berkshire,"$34,375","$69,651","$90,694","3,062","1,190"
204,Peabody,City,Essex,"$34,367","$64,351","$82,197","51,522","21,305"
205,Saugus,Town,Essex,"$34,350","$76,339","$90,225","27,051","10,322"
206,Gill,Town,Franklin,"$34,215","$74,583","$82,411","1,532",562
207,Southampton,Town,Hampshire,"$34,196","$80,000","$90,870","5,878","2,306"
208,Yarmouth,Town,Barnstable,"$34,096","$53,089","$67,826","23,726","11,461"
209,Bourne,Town,Barnstable,"$34,012","$62,216","$78,321","19,729","8,047"
210,Windsor,Town,Berkshire,"$33,975","$73,750","$81,250",921,355
211,Boston,City,Suffolk,"$33,964","$53,601","$62,014","629,182","249,414"
212,Warwick,Town,Franklin,"$33,803","$55,859","$72,344",642,331
213,Hubbardston,Town,Worcester,"$33,730","$86,979","$93,615","4,398","1,519"
214,Williamstown,Town,Berkshire,"$33,706","$71,612","$99,267","7,699","2,524"
215,Framingham,Town,Middlesex,"$33,695","$67,915","$88,730","69,288","26,501"
216,Holbrook,Town,Norfolk,"$33,343","$62,897","$76,393","10,857","4,359"
217,Hanson,Town,Plymouth,"$33,337","$92,560","$98,828","10,250","3,455"
218,Rutland,Town,Worcester,"$33,229","$86,482","$110,385","8,075","2,727"
219,Ashby,Town,Middlesex,"$33,228","$82,778","$86,723","3,114","1,072"
220,Berkley,Town,Bristol,"$33,189","$90,741","$98,469","6,452","2,050"
221,Halifax,Town,Plymouth,"$33,177","$67,760","$82,500","7,546","2,912"
222,Quincy,City,Norfolk,"$33,131","$61,328","$74,544","92,595","39,778"
223,Stoughton,Town,Norfolk,"$33,094","$74,262","$93,869","27,522","10,333"
224,Ayer,Town,Middlesex,"$33,092","$60,345","$76,782","7,585","3,236"
225,Swansea,Town,Bristol,"$33,067","$70,991","$80,105","15,951","6,148"
226,Lee,Town,Berkshire,"$33,018","$57,683","$71,550","5,932","2,558"
227,Avon,Town,Norfolk,"$33,005","$73,194","$91,522","4,400","1,660"
228,Bridgewater,Town,Plymouth,"$32,991","$87,015","$105,821","26,573","7,649"
229,Great Barrington,Town,Berkshire,"$32,963","$50,137","$69,946","7,052","2,756"
230,Hardwick,Town,Worcester,"$32,935","$58,073","$69,063","2,976","1,239"
231,Dennis,Town,Barnstable,"$32,843","$50,672","$67,702","14,168","6,650"
232,Oakham,Town,Worcester,"$32,805","$85,556","$87,813","1,839",656
233,Holland,Town,Hampden,"$32,734","$67,684","$83,438","2,442","1,017"
234,West Bridgewater,Town,Plymouth,"$32,725","$80,347","$100,526","6,928","2,334"
235,Dracut,Town,Middlesex,"$32,690","$78,169","$91,845","29,968","11,049"
236,Blandford,Town,Hampden,"$32,651","$72,273","$78,417","1,110",442
237,Whitman,Town,Plymouth,"$32,541","$72,462","$88,321","14,567","5,492"
238,Blackstone,Town,Worcester,"$32,488","$74,294","$87,175","9,035","3,374"
239,Norton,Town,Bristol,"$32,414","$81,069","$102,725","19,209","6,353"
240,Millbury,Town,Worcester,"$32,361","$71,681","$84,455","13,278","5,204"
241,Belchertown,Town,Hampshire,"$32,222","$71,875","$86,048","14,673","5,798"
242,Freetown,Town,Bristol,"$32,095","$85,393","$91,765","8,923","2,991"
243,Northbridge,Town,Worcester,"$32,055","$66,541","$86,597","15,844","5,857"
244,Milford,Town,Worcester,"$32,031","$66,311","$77,865","28,109","10,538"
245,Northfield,Town,Franklin,"$32,021","$60,608","$72,262","3,033","1,270"
246,Hawley,Town,Franklin,"$31,946","$63,750","$70,714",405,154
247,Petersham,Town,Worcester,"$31,904","$72,917","$89,167","1,215",462
248,New Salem,Town,Franklin,"$31,880","$72,656","$73,063","1,106",431
249,Monson,Town,Hampden,"$31,805","$65,280","$81,555","8,627","3,403"
250,Clinton,Town,Worcester,"$31,765","$64,723","$81,687","13,634","5,803"
251,Barre,Town,Worcester,"$31,754","$69,016","$81,908","5,412","1,967"
252,Middleborough,Town,Plymouth,"$31,719","$77,607","$86,524","23,247","8,178"
253,Cummington,Town,Hampshire,"$31,648","$51,458","$66,417",967,443
254,Somerset,Town,Bristol,"$31,585","$73,160","$84,889","18,241","6,822"
255,Shelburne,Town,Franklin,"$31,553","$55,500","$77,500","1,852",848
256,Hancock,Town,Berkshire,"$31,535","$79,438","$80,192",714,251
257,Acushnet,Town,Bristol,"$31,477","$66,367","$82,775","10,314","3,843"
258,Chesterfield,Town,Hampshire,"$31,467","$61,250","$67,083","1,162",492
259,Salem,City,Essex,"$31,385","$55,780","$64,214","41,926","18,363"
260,Ludlow,Town,Hampden,"$31,117","$61,073","$76,679","21,247","8,223"
261,Easthampton,City,Hampshire,"$31,021","$57,617","$76,440","16,036","7,295"
262,Granby,Town,Hampshire,"$31,002","$73,231","$84,273","6,255","2,547"
263,Attleboro,City,Bristol,"$30,978","$67,039","$75,874","43,677","16,402"
264,New Braintree,Town,Worcester,"$30,961","$82,569","$88,125","1,053",361
265,Tisbury,Town,Dukes,"$30,955","$48,935","$52,212","3,995","1,291"
266,Carver,Town,Plymouth,"$30,918","$72,161","$90,531","11,493","4,327"
267,Plainfield,Town,Hampshire,"$30,907","$64,167","$66,071",601,264
268,West Boylston,Town,Worcester,"$30,810","$72,026","$87,569","7,788","2,352"
269,Goshen,Town,Hampshire,"$30,670","$68,750","$73,894","1,102",455
270,South Hadley,Town,Hampshire,"$30,664","$61,793","$82,926","17,723","7,126"
271,Wales,Town,Hampden,"$30,582","$56,302","$68,462","1,837",723
272,Methuen,City,Essex,"$30,520","$67,556","$83,125","47,690","17,669"
273,Leicester,Town,Worcester,"$30,516","$71,062","$76,613","11,074","4,086"
274,Granville,Town,Hampden,"$30,474","$73,795","$83,438","1,657",607
275,Bernardston,Town,Franklin,"$30,466","$53,750","$71,731","2,205","1,000"
276,West Brookfield,Town,Worcester,"$30,454","$63,667","$88,056","3,728","1,456"
277,Fairhaven,Town,Bristol,"$30,381","$60,326","$77,717","15,952","6,655"
278,Oak Bluffs,Town,Dukes,"$30,190","$69,844","$91,603","4,563","1,667"
279,East Brookfield,Town,Worcester,"$30,172","$66,042","$82,115","2,253",801
280,West Tisbury,Town,Dukes,"$30,136","$70,963","$67,135","2,628",997
281,Rockland,Town,Plymouth,"$30,051","$66,329","$78,518","17,546","6,717"
282,Dartmouth,Town,Bristol,"$30,049","$67,997","$84,881","34,313","11,692"
283,Agawam,City,Hampden,"$29,857","$63,609","$77,414","28,555","11,497"
284,Haverhill,City,Essex,"$29,778","$60,429","$71,736","61,335","23,716"
285,Wareham,Town,Plymouth,"$29,740","$59,186","$74,960","22,086","9,125"
286,Oxford,Town,Worcester,"$29,646","$69,818","$86,772","13,735","5,078"
287,Millville,Town,Worcester,"$29,546","$82,083","$89,702","3,197","1,004"
288,Sandisfield,Town,Berkshire,"$29,539","$55,917","$69,333",930,377
289,Russell,Town,Hampden,"$29,525","$67,554","$76,550","1,651",629
290,Leominster,City,Worcester,"$29,392","$58,846","$75,897","40,867","16,607"
291,Brookfield,Town,Worcester,"$29,391","$61,800","$74,091","3,382","1,346"
292,Colrain,Town,Franklin,"$29,109","$50,833","$58,359","1,777",748
293,Spencer,Town,Worcester,"$28,983","$60,197","$78,324","11,733","4,534"
294,Hinsdale,Town,Berkshire,"$28,948","$64,766","$70,856","2,317",899
295,Cheshire,Town,Berkshire,"$28,769","$49,619","$80,240","3,227","1,382"
296,Savoy,Town,Berkshire,"$28,533","$56,500","$64,000",675,302
297,Buckland,Town,Franklin,"$28,359","$49,760","$66,875","2,093",859
298,Phillipston,Town,Worcester,"$28,307","$71,989","$76,587","1,778",603
299,Clarksburg,Town,Berkshire,"$28,274","$57,600","$62,639","1,670",670
300,Dudley,Town,Worcester,"$28,240","$70,590","$82,908","11,445","3,932"
301,Randolph,City,Norfolk,"$28,172","$61,899","$73,496","32,762","11,740"
,United States,Country,,"$28,155","$53,046","$64,719","311,536,594","115,610,216"
302,Lancaster,Town,Worcester,"$28,082","$77,575","$94,205","7,989","2,349"
303,Sunderland,Town,Franklin,"$28,057","$47,000","$78,167","3,692","1,520"
304,Westfield,City,Hampden,"$28,000","$59,581","$78,906","41,209","15,028"
305,Royalston,Town,Worcester,"$27,999","$60,750","$67,237","1,161",466
306,Dalton,Town,Berkshire,"$27,938","$49,597","$66,899","6,744","2,667"
307,Ware,Town,Hampshire,"$27,894","$50,467","$63,799","9,869","4,394"
308,West Springfield,City,Hampden,"$27,853","$54,126","$63,211","28,498","11,703"
309,Templeton,Town,Worcester,"$27,657","$65,165","$77,912","8,044","2,977"
310,Wendell,Town,Franklin,"$27,575","$48,000","$60,000",980,444
311,North Brookfield,Town,Worcester,"$27,452","$54,439","$72,393","4,706","1,844"
312,Huntington,Town,Hampshire,"$27,331","$55,526","$74,426","2,037",824
313,Greenfield,City,Franklin,"$27,267","$48,230","$54,817","17,526","7,786"
314,Winchendon,Town,Worcester,"$27,204","$58,288","$78,969","10,386","4,062"
315,Warren,Town,Worcester,"$27,074","$42,478","$52,500","5,135","2,066"
316,Montague,Town,Franklin,"$26,889","$45,342","$70,444","8,422","3,715"
317,Florida,Town,Berkshire,"$26,852","$54,375","$64,722",774,341
318,Charlemont,Town,Franklin,"$26,720","$50,329","$55,833","1,256",551
319,Malden,City,Middlesex,"$26,642","$53,798","$61,897","59,803","22,952"
320,Taunton,City,Bristol,"$26,446","$51,637","$66,969","55,953","21,657"
321,Peru,Town,Berkshire,"$26,436","$67,813","$73,958",872,331
322,Chester,Town,Hampden,"$26,415","$65,563","$76,625","1,465",547
323,Webster,Town,Worcester,"$26,411","$47,885","$57,038","16,782","6,930"
324,Pittsfield,City,Berkshire,"$26,304","$42,114","$56,896","44,431","19,724"
325,Revere,City,Suffolk,"$26,092","$51,863","$59,231","52,534","19,763"
326,Palmer,City,Hampden,"$25,993","$50,668","$60,247","12,155","4,968"
327,Gosnold,Town,Dukes,"$25,741","$30,833","$39,167",75,60
328,Erving,Town,Franklin,"$25,165","$54,735","$63,333","1,784",723
329,Chicopee,City,Hampden,"$24,810","$46,708","$57,760","55,478","23,003"
330,Adams,Town,Berkshire,"$24,686","$40,318","$51,750","8,418","3,705"
331,Shirley,Town,Middlesex,"$24,469","$65,882","$78,938","7,435","2,212"
332,Worcester,City,Worcester,"$24,330","$45,932","$57,704","181,901","68,850"
333,Rowe,Town,Franklin,"$23,932","$53,750","$59,286",493,199
334,Monroe,Town,Franklin,"$23,709","$36,875","$67,969",117,63
335,Everett,City,Middlesex,"$23,410","$49,368","$54,318","42,092","15,298"
336,Gardner,City,Worcester,"$23,327","$48,843","$63,184","20,251","7,896"
337,Lowell,City,Middlesex,"$23,136","$49,452","$55,915","107,466","39,258"
338,Athol,Town,Worcester,"$23,036","$46,964","$59,688","11,605","4,616"
339,Lynn,City,Essex,"$22,982","$44,849","$53,557","90,788","33,122"
340,Fitchburg,City,Worcester,"$22,620","$45,363","$53,810","40,358","14,931"
341,Brockton,City,Plymouth,"$21,942","$49,025","$57,773","93,911","32,856"
342,Southbridge,City,Worcester,"$21,579","$42,471","$52,360","16,741","6,500"
343,North Adams,City,Berkshire,"$21,263","$38,317","$51,071","13,657","5,874"
344,Fall River,City,Bristol,"$21,257","$33,211","$42,962","88,811","38,258"
345,Orange,Town,Franklin,"$21,203","$44,825","$52,598","7,819","3,165"
346,New Bedford,City,Bristol,"$21,056","$35,999","$44,607","94,927","39,068"
347,Chelsea,City,Suffolk,"$20,617","$47,291","$48,849","36,222","11,550"
348,Holyoke,City,Hampden,"$19,968","$31,628","$37,299","40,029","15,846"
349,Amherst,Town,Hampshire,"$19,796","$53,191","$96,733","38,651","8,583"
350,Springfield,City,Hampden,"$18,133","$34,311","$39,535","153,428","55,894"
351,Lawrence,City,Essex,"$16,987","$32,851","$36,073","76,820","26,455"
